text,label
"I love this movie!",positive
"This is terrible...",negative
"Great performance and plot",positive
"I donâ€™t like the ending",negative
"Absolutely wonderful experience",positive
"The acting was bad",negative
"Fantastic music and visuals",positive
"I am disappointed",negative
"Best film of the year",positive
"Not my cup of tea",negative
"Really enjoyed the characters",positive
"I regret buying this ticket",negative
"The story was engaging",positive
"It was a waste of time",negative
"Highly recommend it",positive
"Poor pacing and boring scenes",negative
"Heartwarming and funny",positive
"The dialogue felt forced",negative
"A masterpiece",positive
"I will never watch it again",negative
